SAMPLE_ID,Study_ID,Latitude,Longitude,Species,RiverSystem,COMPOUND,UNIT,CONC_FOUND (ng/g ww),Sampling Date,% Lipids,pcb_uggwet,pcb_ugglw_sample,pcb_ugglw_1,effect-mort ww,effect-mort lipid-sample specific,effect-mort lipid - 1%,Composite_Count
21WML01-TW_W03,WDFW_LEGACY 2021,47.26912,-122.423925,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),20,7/7/2021,1.1,0.02,1.818181818,2,-20.5272371,-6.792015438,-5.877237096,4
21WML01-TW_W01,WDFW_LEGACY 2021,47.26873,-122.42172,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),19,4/14/2021,1.1,0.019,1.727272727,1.9,-21.01954542,-7.284323761,-6.369545419,2
16PU-TW_Dfp03r3,WDFW_LEGACY 2016,47.2601139,-122.4288639,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),18,6/9/2016,1.043042904,0.018,1.72572,1.8,-21.53847764,-7.292955656,-6.888477637,5
21WHY01-TW_H01,WDFW_LEGACY 2021,47.260556,-122.361111,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),22,5/12/2021,1.3,0.022,1.692307692,2.2,-19.61245875,-7.48060684,-4.962458754,2
21CBE02-TW_H01,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),18,6/10/2021,1.1,0.018,1.636363636,1.8,-21.53847764,-7.803255979,-6.888477637,8
16PU-TW_Dfp01,WDFW_LEGACY 2016,47.2516694,-122.4288833,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),39,4/12/2016,2.416890341,0.039,1.613643753,3.9,-14.11747218,-7.937450693,0.532527815,5
21WBL02-TW_H02,WDFW_LEGACY 2021,47.263212,-122.385229,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),18,6/22/2021,1.2,0.018,1.5,1.8,-21.53847764,-8.638383175,-6.888477637,3
21WBL03-TW_H01,WDFW_LEGACY 2021,47.26985,-122.40298,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),32,4/14/2021,2.2,0.032,1.454545455,3.2,-16.01618548,-8.933726725,-1.366185479,3
21CBC01-TW_W01,WDFW_LEGACY 2021,47.275017,-122.415855,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),26,5/12/2021,1.8,0.026,1.444444444,2.6,-18.00908901,-9.000611373,-3.35908901,3
21WMD01-TW_H02,WDFW_LEGACY 2021,47.26144,-122.43021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),26,4/23/2021,1.9,0.026,1.368421053,2.6,-18.00908901,-9.519543591,-3.35908901,6
21WMD01-TW_H03,WDFW_LEGACY 2021,47.26144,-122.43021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),25,4/23/2021,1.9,0.025,1.315789474,2.5,-18.38552581,-9.895980389,-3.735525808,4
21RW02-TW_W02,WDFW_LEGACY 2021,47.235275,-122.236133,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),24,5/2/2021,1.9,0.024,1.263157895,2.4,-18.77733156,-10.28778614,-4.127331558,8
21WMD01-TW_W01,WDFW_LEGACY 2021,47.26144,-122.43021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),23,4/23/2021,1.9,0.023,1.210526316,2.3,-19.18581482,-10.69626941,-4.535814824,4
21WHY01-TW_W3601,WDFW_LEGACY 2021,47.260556,-122.361111,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),24,5/12/2021,2,0.024,1.2,2.4,-18.77733156,-10.78009446,-4.127331558,1
13HYLE1-TW05,WDFW_LEGACY 2013,47.29479,-122.42087,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),22,6/12/2013,1.856793191,0.022,1.184838468,2.2,-19.61245875,-10.90213288,-4.962458754,6
13HYLE2-TW02,WDFW_LEGACY 2013,47.27186,-122.45245,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),21,6/13/2013,1.777332076,0.021,1.181546222,2.1,-20.05895359,-10.92883918,-5.408953586,7
21CBE02-TW_H3681,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),15,6/10/2021,1.3,0.015,1.153846154,1.5,-23.28838317,-11.15653126,-8.638383175,1
21WTH01-TW_W01,WDFW_LEGACY 2021,47.241858,-122.431739,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,6/4/2021,1.2,0.013,1.083333333,1.3,-24.66185191,-11.76175745,-10.01185191,2
21WSP01-TW_W3617,WDFW_LEGACY 2021,47.264296,-122.430432,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),14,6/4/2021,1.3,0.014,1.076923077,1.4,-23.95057041,-11.8187185,-9.300570412,1
21WBL01-TW_H01,WDFW_LEGACY 2021,47.25632,-122.38271,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),23,4/14/2021,2.2,0.023,1.045454545,2.3,-19.18581482,-12.10335607,-4.535814824,3
21WTH02-TW_H01,WDFW_LEGACY 2021,47.25135,-122.42767,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),25,4/23/2021,2.4,0.025,1.041666667,2.5,-18.38552581,-12.13819425,-3.735525808,4
21CBE02-TW_H03,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),20,4/29/2021,2,0.02,1,2,-20.5272371,-12.53,-5.877237096,4
21CBE02-TW_H02,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,6/10/2021,1.3,0.013,1,1.3,-24.66185191,-12.53,-10.01185191,6
16PU-TW_Dfp03r2,WDFW_LEGACY 2016,47.2601139,-122.4288639,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),22,4/12/2016,2.242380892,0.022,0.981100048,2.2,-19.61245875,-12.71313614,-4.962458754,4
21WBL02-TW_H03,WDFW_LEGACY 2021,47.263212,-122.385229,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),16,6/22/2021,1.7,0.016,0.941176471,1.6,-22.66894838,-13.11186955,-8.018948383,3
21WTH02-TW_H03,WDFW_LEGACY 2021,47.25135,-122.42767,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),31,4/23/2021,3.3,0.031,0.939393939,3.1,-16.32090657,-13.13006464,-1.670906566,2
