river,norm,effect,eff_pct,addl_mort,addl_mort_pct
Puyallup,ww,0.009941463156798473,0.994%,0.009835306651330485,0.984%
Puyallup,lw,0.10344776495118783,10.345%,0.09356000208612329,9.356%
Puyallup,lw1,0.1336943101868895,13.369%,0.11781775863557328,11.782%
White,ww,0.0098324691816807,0.983%,0.009728610731509619,0.973%
White,lw,0.10237585682162424,10.238%,0.0926820445656676,9.268%
White,lw1,0.13229074767355078,13.229%,0.11672613509795811,11.673%
Stillaguamish,ww,3.6792282169068855e-4,0.037%,3.669922271294997e-4,0.037%
Stillaguamish,lw,0.006908210168629485,0.691%,0.006816582162102836,0.682%
Stillaguamish,lw1,0.01765397391677755,1.765%,0.017256435893256837,1.726%
